진행 상태,담당자,분류,주기능,상세 기능,URI,Method,Description,Request,Response,HTTP Status
완료,민주 김,"그룹, 앨범",앨범,앨범 생성(기본 앨범 제외),/api/albums,POST,"앨범 이름

앨범 제목: 2 ~ 7자
앨범 설명: 2 ~ 60자","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “familyId”: 1,
  “albumName”: “이름”, 
  “albumContent”: “내용”,
  “backgroundColor”: “#FFFFFF”
}","{
}","200, 401, 403"
완료,민주 김,"그룹, 앨범",,앨범 전체 조회 및 검색,/api/albums?name=aaa,GET,"앨범 목록, 썸네일 반환","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}
","[
    {
      “albumId”: 1
      “albumName”:  “추억 보관함”
      “albumContent”: “추억을 저장해보세요”
      “thumbnailUrl”: “https ://s3..”
      “backgroundColor”: “#FFFFFF”
      “photoLength”:  앨범 속 사진 개수 (30장 제한)
     },
    …
]
","200, 401, 403"
완료,민주 김,"그룹, 앨범",,앨범 상세 조회,/api/albums/{albumId},GET,앨범에 포함된 사진 id와 url을 반환,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
   “albumName”: “추억 보관함”,
   “albumContent”: “추억을 저장해보세요”
   “photoList”: [
    {
      “photoId”: 1
      “photoUrl”: “https://s3..”,
      “isThumbnail”: true/false
    },
    …
  ]
}","200, 401, 403"
완료,민주 김,"그룹, 앨범",,"앨범 수정(이름, 내용)",/api/albums/{albumId},PATCH,앨범 정보 수정,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “albumName”: “변경”,
  “albumContent”:  “내용 변경”
}","{
  “albumName”: “변경”,
  “albumContent”: “내용 변경”
}","200, 401, 403"
완료,민주 김,"그룹, 앨범",,사진 상세 조회,/api/photos/{photoId},GET,사진을 눌렀을 때 해당 사진의 감상평을 보여줌,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","[
     {
        “type”: AUDIO/TEXT
        “content”:  음성이면 url, 텍스트면 내용
        “createdAt”: “2025-04-09T06..”,
        “writer”: 작성자 이름,
        “writerId”: 1 작성자 id
      },
      …
]","200, 401, 403, 404"
완료,민주 김,"그룹, 앨범",,앨범에서 다른 앨범으로 사진 이동,/api/albums/{albumId}/move,PATCH,사진의 앨범ID를 변경함,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “albumId”: 이동하려는 앨범 id
  “photoList”: [1, 2, 3]  이동하려는 사진 id 목록
}","{
  “albumId”: 이동하는 앨범 아이디
}","200, 401, 403, 404"
완료,민주 김,"그룹, 앨범",,앨범 대표 이미지 선택(변경),/api/albums/{albumId}/thumbnail,PATCH,"앨범의 대표 이미지 변경
","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “photoId”: 변경하려는 앨범의 대표 이미지 id
}","{
}","200, 400, 401, 403, 404"
완료,민주 김,"그룹, 앨범",사진,사진 업로드,/api/photos,POST,"앨범에 사진을 업로드(최대 5장) ","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “albumId”: 1, 업로드하려는 앨범 id
  “photoLength”: 3, 업로드하려는 사진 갯수
}","[
  {
     ""presignedUrl"": “https://s3..”,
     ""fileName"": ""album/{familyId}/{UUD}.png”
  },
  …
]","200, 401, 403"
완료,민주 김,"그룹, 앨범",,사진 감상평 작성,/api/photos/{photoId}/review,POST,사진마다 감상평 작성,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “type”: 감상평 유형 (TEXT, AUDIO)
  “content”: 감상평 내용(AUDIO일 경우 null)
}","AUDIO
{
  “presignedUrl”: “https://…”,
  “fileName”: “album/{familyId}/review/{UUID}”
}
TEXT
{ 
}","200, 401, 403, 404"
완료,민주 김,"그룹, 일정",일정 업로드,일정 전체 조회 (월별),/api/schedules?family_id={family_id}&year=2025&month=3,GET,그룹에 등록되어 있는 전체 일정 조회,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","[
    {
       “scheduleId”: 1,
       “scheduleContent”: “내용”
       “startDate”: “2025-04-09”,
       “endDate”:  “2025-04-09”,
       “albumId”: 연결되어 있는 앨범이 없으면 null
    },
    …
]","200, 401, 403"
완료,민주 김,"그룹, 일정",,일정 추가,/api/schedules,POST,"그룹 일정 등록
일정 내용 최대 50자","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “familyId”: 1,
  “startDate”: “2025-04-09”,
  “endDdate”: “2025-04-09”,
  “content”: “내용”
  “albumId”: 앨범과 연결하고 싶은 경우
}","{
       “scheduleId”: 1,
       “scheduleContent”:  “내용”,
       “startDate”:  “2025-04-09”,
       “endDate”:  “2025-04-09”,
       “albumId”: 1 (연결되어 있는 앨범이 없으면 null)
}","200, 401, 403"
완료,민주 김,"그룹, 일정",,일정 수정,/api/schedules/{schedule_id},PATCH,그룹 일정 수정,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “familyId”: 1,
  “startDate”: “2025-04-09”
  “endDate”: “2025-04-09”
  “content”: “내용”,
  “albumId”: 1
}

변경하고 싶은 부분만 보냄
{
  “startDate”: “2025-03-23”,
  “endDate”: “2025-04-07”,
  “content”: “수정”
}
","{
       “scheduleId”: 1,
       “scheduleContent”:  “내용”,
       “startDate”:  “2025-04-09”,
       “endDate”:  “2025-04-09”,
       “albumId”: 1 (연결되어 있는 앨범이 없으면 null)
}","200, 400, 401, 403, 404"
완료,민주 김,"그룹, 일정",,일정 삭제,/api/schedules/{schedule_id},DELETE,그룹 일정 삭제,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
}","200, 401, 403, 404"
완료,민주 김,"그룹, 일정",,앨범 연결,/api/schedules/{schedule_id}/link,POST,일정에 앨범을 연결,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “albumId”: 1
}
null이면 연결 끊음","{
       “scheduleId”: 1
       “scheduleContent”: “내용”
       “startDate”: “2025-04-09”
       “endDate”:  “2025-04-09”
       “albumId”: 연결되어 있는 앨범이 없으면 null
}","200, 401, 403, 404"
완료,민주 김,"그룹, 편지",편지 작성,편지 보내기,/api/letters,POST,"편지를 보냈으면 받은 사람에게 편지가 왔다고 알림을 보냄
","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

[ Body ]
{
  “type”: 편지 유형 (TEXT, AUDIO)
  “content”: 편지 내용, AUDIO면 null
  “openAt”: 열리면 좋겠는 날짜 지정, 없으면 null
  “backgroundColor”: 편지지 색 지정
  “receiverId”: 받는 유저 id,
  “duration”: 음성 편지 재생 길이
}","AUDIO
{
  “presignedUrl”: “https://..”,
  “fileName”: “letter/{UUID}”
}
TEXT
{ 
}","200, 401, 403"
완료,민주 김,"그룹, 편지",편지 조회,편지 목록,/api/letters,GET,받은 편지(느린 편지 포함) 모두 조회,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token} ","[
   {
      “letterId”: 
      “senderName”: 편지 보낸 사람 이름
      “type”: TEXT/AUDIO
      “createdAt”: 편지 작성일
      “openAt”: 편지 열람 가능일
      “backgroundColor”: 편지 배경색
      “isRead”: 아직 안열어봤으면 false, 열어봤으면 true 
   },
   …  
]","200, 401"
완료,민주 김,"그룹, 편지",,편지 상세 조회,/api/letters/{letter_id},GET,"받은 편지, 시간이 지난 느린 편지 조회

읽음 여부true로 변경","[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}","{
   “senderName”: 편지 보낸 사람 이름,
   “senderId” : 편지 보낸 사람 id,
   “type”: TEXT/AUDIO
   “content”: 편지 타입이 AUDIO라면 url, TEXT면 내용
   “createdAt”: 편지 전송일
   “openAt”: 편지 열람 가능일
   “backgroundColor”: 편지지 색,
   “duration”: 음성 편지 재생 길이
}","200, 401, 404"
완료,민주 김,알림,,로그인 시 fcm 토큰 저장,/api/fcm,POST,,"[ Header ]
- Content-Type: application/json
- Authorization : Bearer {Access Token}

{
  “token”: “e4bxRj…”
}","{
}","200, 401"
